日期,多空仓位,多头仓位,打分,隔日涨跌
4-28-2017,1,0,8,-0.0034
5-2-2017,-1,1,2,-0.003
5-3-2017,-1,0,3,-0.0022
5-4-2017,-1,0,2,-0.003
5-5-2017,0,0,5,0.0022
5-8-2017,1,0,6,-0.0013
5-9-2017,-1,1,4,0.0026
5-10-2017,0,0,5,0.0056
5-11-2017,1,0,7,0.0154
5-12-2017,1,1,8,0.0017
5-15-2017,1,1,9,0.0021
5-16-2017,0,1,5,-0.0088
5-17-2017,0,0,5,-0.0034
5-18-2017,-1,0,3,0.0021
5-19-2017,1,0,8,0.0076
5-22-2017,1,1,10,0.0126
5-23-2017,1,1,8,-0.0017
5-24-2017,0,1,5,0.0296
5-25-2017,1,0,6,-0.0016
5-26-2017,1,1,9,0.0036
5-31-2017,1,1,8,0.0061
6-1-2017,0,1,5,-0.008
6-2-2017,1,0,6,-0.0113
6-5-2017,-1,1,1,0.0061
6-6-2017,1,0,9,0.0094
6-7-2017,0,1,5,0.0085
6-8-2017,0,0,5,0.0064
6-9-2017,0,0,5,-0.0012
6-12-2017,1,0,6,-0.0008
6-13-2017,-1,1,1,-0.0119
6-14-2017,-1,0,1,-0.0068
6-15-2017,-1,0,4,-0.002
6-16-2017,1,0,10,0.015
6-19-2017,-1,1,4,-0.0056
6-20-2017,-1,0,3,0.0105
6-21-2017,1,0,8,0.006
6-22-2017,0,1,5,0.0075
6-23-2017,-1,0,4,0.0043
6-26-2017,1,0,8,0.0039
6-27-2017,-1,1,3,-0.0062
6-28-2017,1,0,6,0.0067
6-29-2017,-1,1,1,-0.0027
6-30-2017,-1,0,4,-0.0059
7-3-2017,-1,0,1,-0.009
7-4-2017,-1,0,4,0.0171
7-5-2017,-1,0,4,0.0016
7-6-2017,1,0,6,-0.0023
7-7-2017,-1,1,3,0.0055
7-10-2017,1,0,6,0.0113
7-11-2017,0,1,5,-0.0027
7-12-2017,1,0,6,0.0158
7-13-2017,1,1,6,0.0102
7-14-2017,1,1,9,0.0015
7-17-2017,1,1,6,-0.0037
7-18-2017,-1,1,4,0.0162
7-19-2017,1,0,9,0.003
7-20-2017,-1,1,4,-0.0111
7-21-2017,-1,0,4,0.0075
7-24-2017,-1,0,3,-0.0063
7-25-2017,0,0,5,-0.0022
7-26-2017,-1,0,1,0
7-27-2017,-1,0,1,0.0011
7-28-2017,-1,0,1,0.0007
7-31-2017,-1,0,1,0.0157
8-1-2017,-1,0,4,0.0015
8-2-2017,-1,0,1,-0.0143
8-3-2017,-1,0,4,-0.0067
8-4-2017,-1,0,0,0.003
8-7-2017,-1,0,1,0.0011
8-8-2017,-1,0,4,-0.0067
8-9-2017,-1,0,4,-0.0034
8-10-2017,0,0,5,-0.0158
8-11-2017,0,0,5,0.0082
